month,entry_date,entry_price,exit_date,exit_price,monthly_return_pct,holding_days,equity_curve,cumulative_return_pct,drawdown_pct
2014-08,2014-08-01,9253.0,2014-08-29,9473.0,0.021063700000000064,29,0.9995120257215904,-0.04879742784096308,-0.07504556838672238
2014-09,2014-09-01,9528.0,2014-09-30,8991.0,-0.05462594999999983,30,0.9989660327821758,-0.10339672178242276,-0.12963052403205388
2014-10,2014-10-01,8980.0,2014-10-31,8978.0,-0.001097899999999936,31,0.9989550651341018,-0.10449348658981839,-0.13072700081853128
2014-11,2014-11-03,8982.0,2014-11-28,9181.0,0.018991849999999977,26,0.9991447851816395,-0.08552148183604835,-0.11175997829443451
2014-12,2014-12-01,9119.0,2014-12-31,9283.0,0.01547990000000009,31,0.9992994517952408,-0.07005482047591771,-0.09629737862731913
2015-01,2015-01-05,9252.0,2015-01-30,9400.0,0.013867400000000087,26,0.999438028647419,-0.05619713525809589,-0.08244333257000358
2015-02,2015-02-02,9419.0,2015-02-26,9649.0,0.022046600000000218,25,0.9996583707518428,-0.034162924815717144,-0.06041490852175535
2015-03,2015-03-02,9631.0,2015-03-31,9582.0,-0.005860649999999805,30,0.9995997842735374,-0.040021572646264936,-0.06627201781542746
2015-04,2015-04-01,9507.0,2015-04-30,9874.0,0.03573095000000012,30,0.9999569507726562,-0.0043049227343772145,-0.030564747436978568
2015-05,2015-05-04,9886.0,2015-05-29,9703.0,-0.019279449999999816,26,0.9997641645723105,-0.023583542768945698,-0.049838304721772086
2015-06,2015-06-01,9630.0,2015-06-30,9212.0,-0.042742099999999845,30,0.9993368443733248,-0.06631556266751826,-0.09255910278372914
2015-07,2015-07-01,9294.0,2015-07-31,8570.0,-0.07329319999999989,31,0.9986043984213046,-0.1395601578695449,-0.16578446325541396
2015-08,2015-08-03,8452.0,2015-08-31,7969.0,-0.049121049999999826,29,0.9981138734554538,-0.18861265445462294,-0.21482407818633753
2015-09,2015-09-01,7834.0,2015-09-30,8135.0,0.029301550000000134,30,0.9984063362911413,-0.1593663708858717,-0.1855854749710173
2015-10,2015-10-01,8309.0,2015-10-30,8568.0,0.025056150000000162,30,0.9986564984803719,-0.1343501519628143,-0.16057582554600547
2015-11,2015-11-02,8583.0,2015-11-30,8300.0,-0.0291441499999999,29,0.9983654485324699,-0.16345514675301098,-0.18967317708654674
2015-12,2015-12-01,8456.0,2015-12-31,8272.0,-0.01923639999999996,31,0.9981733989613284,-0.18266010386716047,-0.20887309079551386
2016-01,2016-01-04,8075.0,2016-01-30,8163.0,0.007988100000000123,27,0.9982531340506108,-0.17468659493892202,-0.20090167578687979
2016-02,2016-02-01,8124.0,2016-02-26,8391.0,0.02587425000000003,26,0.9985114245621479,-0.148857543785208,-0.17507940758872964
2016-03,2016-03-01,8448.0,2016-03-31,8715.0,0.025841849999999975,31,0.9987694583867162,-0.1230541613283842,-0.14928280134661742
2016-04,2016-04-01,8629.0,2016-04-29,8309.0,-0.032846899999999915,29,0.9984413935814893,-0.15586064185106885,-0.1820806665741359
2016-05,2016-05-03,8259.0,2016-05-31,8515.0,0.024761300000000118,29,0.9986886206502782,-0.13113793497218085,-0.15736445211423922
2016-06,2016-06-01,8563.0,2016-06-30,8518.0,-0.005354049999999915,30,0.9986351503621843,-0.13648496378156905,-0.16271007674277804
