original_date,Time,Symbol,Open,High,Low,Close,Volume,Signal
2018/01/11,2018-01-11,TX,10815.0,10815.0,10766.0,10793.0,22085.0,0.0
2018/01/11,2018-01-11,TX,10808.0,10834.0,10765.0,10801.0,135869.0,0.0
2018/01/11,2018-01-11,TX,10712.0,10733.0,10675.0,10704.0,129.0,0.0
2018/01/11,2018-01-11,TX,10296.0,10334.0,10273.0,10302.0,104.0,0.0
2018/01/11,2018-01-11,TX,10308.0,10308.0,10275.0,10300.0,29.0,0.0
2018/01/11,2018-01-11,TX,10780.0,10780.0,10739.0,10764.0,122.0,0.0
2018/01/11,2018-01-11,TX,10708.0,10708.0,10672.0,10700.0,41.0,0.0
2018/01/12,2018-01-12,TX,-11.0,-5.0,-13.0,-5.0,8263.0,0.0
2018/01/12,2018-01-12,TX,-11.0,-11.0,-11.0,-11.0,1.0,0.0
2018/01/12,2018-01-12,TX,-27.0,-22.0,-27.0,-22.0,74.0,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,-94.0,-88.0,-94.0,-89.0,8.0,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,-500.0,-500.0,-500.0,-500.0,2.0,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,-69.0,-68.0,-69.0,-68.0,5.0,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,,,,,,0.0
2018/01/12,2018-01-12,TX,10297.0,10329.0,10297.0,10329.0,5.0,0.0
2018/01/12,2018-01-12,TX,10824.0,10898.0,10818.0,10876.0,124266.0,0.0
2018/01/12,2018-01-12,TX,10797.0,10833.0,10788.0,10833.0,10556.0,0.0
2018/01/12,2018-01-12,TX,10808.0,10890.0,10808.0,10871.0,17817.0,0.0
2018/01/12,2018-01-12,TX,10786.0,10821.0,10775.0,10821.0,817.0,0.0
2018/01/12,2018-01-12,TX,10801.0,10872.0,10792.0,10859.0,749.0,0.0
2018/01/12,2018-01-12,TX,10774.0,10804.0,10762.0,10804.0,63.0,0.0
2018/01/12,2018-01-12,TX,10734.0,10801.0,10725.0,10790.0,239.0,0.0
2018/01/12,2018-01-12,TX,10704.0,10718.0,10692.0,10718.0,92.0,0.0
2018/01/12,2018-01-12,TX,10335.0,10397.0,10324.0,10385.0,191.0,0.0
2018/01/15,2018-01-15,TX,-5.0,-2.0,-9.0,-3.0,25979.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,-20.0,-17.0,-21.0,-18.0,141.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,-85.0,-79.0,-85.0,-80.0,234.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,-491.0,-487.0,-491.0,-487.0,42.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,-75.0,-75.0,-75.0,-75.0,26.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,-62.0,-62.0,-62.0,-62.0,2.0,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,,,,,,0.0
2018/01/15,2018-01-15,TX,10882.0,10918.0,10874.0,10916.0,13577.0,0.0
2018/01/15,2018-01-15,TX,10930.0,10958.0,10902.0,10955.0,134712.0,0.0
2018/01/15,2018-01-15,TX,10386.0,10422.0,10386.0,10419.0,41.0,0.0
2018/01/15,2018-01-15,TX,10447.0,10472.0,10417.0,10471.0,285.0,0.0
2018/01/15,2018-01-15,TX,10795.0,10832.0,10790.0,10831.0,45.0,0.0
2018/01/15,2018-01-15,TX,10845.0,10878.0,10818.0,10877.0,474.0,0.0
2018/01/15,2018-01-15,TX,10867.0,10896.0,10856.0,10896.0,165.0,0.0
